RUN | DV | Nombres | Apellido paterno | Apellido materno | Nombre completo | Telefono | Mail personal | Mail institucional
13436089 | 9 | JADE MURIEL | BARRA | ALVAREZ | JADE MURIEL BARRA ALVAREZ | x | JADE.BARRA@llimail.kom | JADE.BARRA@lamejor.cl
14861328 | 5 | ORIANA MAGNO | BARRERA | TIZNADO | ORIANA MAGNO BARRERA TIZNADO | x | ORIANA.BARRERA@llimail.kom | ORIANA.BARRERA@lamejor.cl
19845469 | 9 | JOSEPHA SARA | PASTRIÁN | CÁDIZ | JOSEPHA SARA PASTRIÁN CÁDIZ | x | JOSEPHA.PASTRIÁN@llimail.kom | JOSEPHA.PASTRIÁN@lamejor.cl
14128357 | 7 | FARID LUCAS | DÍAZ | FAJARDO | FARID LUCAS DÍAZ FAJARDO | x | FARID.DÍAZ@llimail.kom | FARID.DÍAZ@lamejor.cl
12830325 | 3 | TAMARA MICHEL | ZAMBRANO | ZAPAG | TAMARA MICHEL ZAMBRANO ZAPAG | x | TAMARA.ZAMBRANO@llimail.kom | TAMARA.ZAMBRANO@lamejor.cl
19983261 | K | YANARA GIULIANA | THENOUX | KAPPES | YANARA GIULIANA THENOUX KAPPES | x | YANARA.THENOUX@llimail.kom | YANARA.THENOUX@lamejor.cl
18203700 | 1 | ESTELITA MARTINA | GARCÍA | BECERRA | ESTELITA MARTINA GARCÍA BECERRA | x | ESTELITA.GARCÍA@llimail.kom | ESTELITA.GARCÍA@lamejor.cl
18456009 | 8 | ELIAN OSVALDO | MENDOZA | VARGAS | ELIAN OSVALDO MENDOZA VARGAS | x | ELIAN.MENDOZA@llimail.kom | ELIAN.MENDOZA@lamejor.cl
17147602 | 3 | ISADORA MILLARAY | DONAIRE | BOERSCHEL | ISADORA MILLARAY DONAIRE BOERSCHEL | x | ISADORA.DONAIRE@llimail.kom | ISADORA.DONAIRE@lamejor.cl
15245824 | 1 | DEMIAN THOMAS | FARÍAS | ÓRDENES | DEMIAN THOMAS FARÍAS ÓRDENES | x | DEMIAN.FARÍAS@llimail.kom | DEMIAN.FARÍAS@lamejor.cl
14321184 | 2 | EUDARDO VERÓNICA | HERRERA | RIFFO | EUDARDO VERÓNICA HERRERA RIFFO | x | EUDARDO.HERRERA@llimail.kom | EUDARDO.HERRERA@lamejor.cl
